MATERIAL_NUMBER_1,MATERIAL_NUMBER_TEXT,UPPER_DESC
168546,"VALVE,BALL STEEL,BRASS,ALL 1/4""-3/4""","VALVE,BALL STEEL,BRASS,ALL 1/4""-3/4"""
169040,"VALVE,COMPRESSOR SUCTION","VALVE,COMPRESSOR SUCTION"
169340,"ELBOW,1/2"" C-H #LBY-15","ELBOW,1/2"" C-H #LBY-15"
170148,"NIPPLE,1/4 X 4,BLK,STD,BW,TBE","NIPPLE,1/4 X 4,BLK,STD,BW,TBE"
170150,"NIPPLE,1/4 X 6,BLK,***USE SAP #232035***","NIPPLE,1/4 X 6,BLK,***USE SAP #232035***"
170404,"ELL,45,WELD,12"",3R,.375W,Y-52","ELL,45,WELD,12"",3R,.375W,Y-52"
170708,"FLANGE,1/2,FLOOR,F/FLEX PIPE,#FGF-FF-500","FLANGE,1/2,FLOOR,F/FLEX PIPE,#FGF-FF-500"
171646,"VALVE,BALL,12,150A,WE,**DO NOT USE**","VALVE,BALL,12,150A,WE,**DO NOT USE**"
177965,"PIPE,26"" OD .375"" WT API5LX60,DSAW,PE","PIPE,26"" OD .375"" WT API5LX60,DSAW,PE"
177991,"PIPE,6 5/8"" OD .280"" WT API5LX52,ERW,PE","PIPE,6 5/8"" OD .280"" WT API5LX52,ERW,PE"
